session_id,step_number,restaurant_id,meal_time_bucket,candidate_item_id,retrieval_score,src_cooc,src_ctx,src_rule,label_addon_added
3,2,142,late-night,4232,0.296795,1,1,0,0
3,2,142,late-night,4233,0.1625,0,1,1,0
3,2,142,late-night,4235,0.05,0,0,1,0
3,2,142,late-night,4236,0.195192,1,1,1,0
3,2,142,late-night,4237,0.673077,1,1,1,0
3,2,142,late-night,4238,0.410064,1,1,0,0
3,2,142,late-night,4239,0.8625,1,1,1,0
3,2,142,late-night,4240,0.225,0,1,0,0
3,2,142,late-night,4242,0.1125,0,1,0,0
3,2,142,late-night,4244,0.216346,1,1,1,0
3,2,142,late-night,4245,0.332692,1,1,0,0
3,2,142,late-night,4246,0.203846,1,1,0,0
3,2,142,late-night,4247,0.765064,1,1,0,0
3,2,142,late-night,4248,0.125,0,1,1,0
3,2,142,late-night,4249,0.847756,1,1,1,1
3,2,142,late-night,4250,0.146795,1,1,0,0
3,2,142,late-night,4252,0.15,0,1,0,0
3,2,142,late-night,4253,0.360577,1,1,0,0
3,2,142,late-night,4255,0.1125,0,1,0,0
3,2,142,late-night,4256,0.075,0,1,0,0
3,2,142,late-night,4257,0.182692,1,1,0,0
3,2,142,late-night,4258,0.544872,1,1,0,0
3,2,142,late-night,4259,0.220192,1,1,0,0
3,2,142,late-night,4260,0.334295,1,1,0,0
4,1,148,lunch,4411,0.064286,0,1,1,0
4,1,148,lunch,4412,0.621889,1,1,1,0
4,1,148,lunch,4413,0.064286,0,1,1,0
4,1,148,lunch,4414,0.48341,1,1,0,0
4,1,148,lunch,4415,0.443779,1,1,0,0
4,1,148,lunch,4416,0.203917,1,1,1,0
4,1,148,lunch,4417,0.141244,1,1,1,0
4,1,148,lunch,4418,0.064286,0,1,1,0
4,1,148,lunch,4419,0.386406,1,1,1,0
4,1,148,lunch,4420,0.028571,0,1,0,0
4,1,148,lunch,4421,0.078571,0,1,1,0
4,1,148,lunch,4422,0.992857,1,1,1,0
4,1,148,lunch,4423,0.662442,1,1,1,1
4,1,148,lunch,4424,0.696313,1,1,0,0
4,1,148,lunch,4425,0.189862,1,1,0,0
4,1,148,lunch,4426,0.064286,0,1,1,0
4,1,148,lunch,4428,0.340092,1,1,0,0
4,1,148,lunch,4429,0.107143,0,1,1,0
4,1,148,lunch,4430,0.230876,1,1,0,0
4,1,148,lunch,4431,0.304147,1,1,0,0
4,1,148,lunch,4432,0.36129,1,1,0,0
4,1,148,lunch,4433,0.318433,1,1,0,0
4,1,148,lunch,4434,0.370507,1,1,0,0
4,1,148,lunch,4435,0.064286,0,1,1,0
4,1,148,lunch,4436,0.2,0,1,0,0
4,1,148,lunch,4437,0.723041,1,1,0,0
4,1,148,lunch,4438,0.064286,0,1,1,0
4,1,148,lunch,4439,0.388018,1,1,0,0
4,1,148,lunch,4440,0.629954,1,1,0,0
4,2,148,lunch,4411,0.064286,0,1,1,0
4,2,148,lunch,4412,0.512291,1,1,0,0
4,2,148,lunch,4413,0.064286,0,1,1,0
4,2,148,lunch,4414,0.656873,1,1,0,0
4,2,148,lunch,4415,0.555526,1,1,0,1
4,2,148,lunch,4416,0.186388,1,1,1,0
4,2,148,lunch,4417,0.08248,1,1,0,0
4,2,148,lunch,4418,0.064286,0,1,1,0
4,2,148,lunch,4419,0.301348,1,1,0,0
4,2,148,lunch,4420,0.028571,0,1,0,0
4,2,148,lunch,4421,0.078571,0,1,1,0
4,2,148,lunch,4422,0.816065,1,1,0,0
4,2,148,lunch,4424,0.875741,1,1,0,0
4,2,148,lunch,4425,0.160647,1,1,0,0
4,2,148,lunch,4426,0.064286,0,1,1,0
4,2,148,lunch,4428,0.378437,1,1,0,0
4,2,148,lunch,4429,0.107143,0,1,1,0
4,2,148,lunch,4430,0.349865,1,1,0,0
4,2,148,lunch,4431,0.512668,1,1,0,0
4,2,148,lunch,4432,0.443019,1,1,0,0
4,2,148,lunch,4433,0.447709,1,1,0,0
4,2,148,lunch,4434,0.45876,1,1,0,0
4,2,148,lunch,4435,0.064286,0,1,1,0
4,2,148,lunch,4436,0.2,0,1,0,0
4,2,148,lunch,4437,0.971429,1,1,0,0
4,2,148,lunch,4438,0.064286,0,1,1,0
4,2,148,lunch,4439,0.573046,1,1,0,0
4,2,148,lunch,4440,0.639084,1,1,0,0
5,1,62,lunch,1831,0.05,0,0,1,0
5,1,62,lunch,1832,1.05,1,1,1,0
5,1,62,lunch,1833,0.05,0,0,1,0
5,1,62,lunch,1834,0.152795,1,1,0,0
5,1,62,lunch,1835,0.219876,1,1,0,0
5,1,62,lunch,1836,0.207453,1,1,1,0
5,1,62,lunch,1837,0.064286,0,1,1,0
5,1,62,lunch,1838,0.134161,1,1,0,0
5,1,62,lunch,1839,0.085714,0,1,0,0
5,1,62,lunch,1840,0.146584,1,1,0,0
5,1,62,lunch,1841,0.096584,1,1,0,0
5,1,62,lunch,1842,0.064286,0,1,1,0
